file_name,label
train_0001.wav,noise
train_0002.wav,noise
train_0003.wav,noise
train_0004.wav,noise
train_0005.wav,noise
train_0006.wav,noise
train_0007.wav,noise
train_0008.wav,noise
train_0009.wav,orca
train_0010.wav,noise
train_0011.wav,orca
train_0012.wav,orca
train_0013.wav,noise
train_0014.wav,noise
train_0015.wav,noise
train_0016.wav,noise
train_0017.wav,orca
train_0018.wav,noise
train_0019.wav,noise
train_0020.wav,noise
train_0021.wav,noise
train_0022.wav,noise
train_0023.wav,noise
train_0024.wav,noise
train_0025.wav,noise
train_0026.wav,noise
train_0027.wav,noise
train_0028.wav,noise
train_0029.wav,orca
train_0030.wav,noise
train_0031.wav,noise
train_0032.wav,noise
train_0033.wav,noise
train_0034.wav,noise
train_0035.wav,noise
train_0036.wav,noise
train_0037.wav,noise
train_0038.wav,orca
train_0039.wav,noise
train_0040.wav,noise
train_0041.wav,noise
train_0042.wav,noise
train_0043.wav,orca
train_0044.wav,noise
train_0045.wav,noise
train_0046.wav,noise
train_0047.wav,noise
train_0048.wav,orca
train_0049.wav,noise
train_0050.wav,noise
train_0051.wav,noise
train_0052.wav,orca
train_0053.wav,noise
train_0054.wav,noise
train_0055.wav,orca
train_0056.wav,noise
train_0057.wav,noise
train_0058.wav,noise
train_0059.wav,noise
train_0060.wav,noise
train_0061.wav,noise
train_0062.wav,noise
train_0063.wav,noise
train_0064.wav,noise
train_0065.wav,orca
train_0066.wav,noise
train_0067.wav,noise
train_0068.wav,noise
train_0069.wav,noise
train_0070.wav,noise
train_0071.wav,orca
train_0072.wav,noise
train_0073.wav,noise
train_0074.wav,noise
train_0075.wav,noise
train_0076.wav,noise
train_0077.wav,orca
train_0078.wav,orca
train_0079.wav,noise
train_0080.wav,noise
train_0081.wav,orca
train_0082.wav,noise
train_0083.wav,orca
train_0084.wav,noise
train_0085.wav,noise
train_0086.wav,noise
train_0087.wav,orca
train_0088.wav,noise
train_0089.wav,noise
train_0090.wav,orca
train_0091.wav,noise
train_0092.wav,noise
train_0093.wav,noise
train_0094.wav,noise
train_0095.wav,noise
train_0096.wav,noise
train_0097.wav,noise
train_0098.wav,noise
train_0099.wav,noise
train_0100.wav,noise
train_0101.wav,noise
train_0102.wav,orca
train_0103.wav,noise
train_0104.wav,noise
train_0105.wav,orca
train_0106.wav,orca
train_0107.wav,noise
train_0108.wav,noise
train_0109.wav,noise
train_0110.wav,noise
train_0111.wav,noise
train_0112.wav,noise
train_0113.wav,noise
train_0114.wav,noise
train_0115.wav,noise
train_0116.wav,noise
train_0117.wav,noise
train_0118.wav,noise
train_0119.wav,noise
train_0120.wav,orca
train_0121.wav,noise
train_0122.wav,noise
train_0123.wav,noise
train_0124.wav,noise
train_0125.wav,noise
train_0126.wav,noise
train_0127.wav,noise
train_0128.wav,noise
train_0129.wav,noise
train_0130.wav,noise
train_0131.wav,noise
train_0132.wav,orca
train_0133.wav,noise
train_0134.wav,orca
train_0135.wav,noise
train_0136.wav,noise
train_0137.wav,noise
train_0138.wav,noise
train_0139.wav,noise
train_0140.wav,noise
train_0141.wav,orca
train_0142.wav,noise
train_0143.wav,noise
train_0144.wav,noise
train_0145.wav,noise
train_0146.wav,noise
train_0147.wav,noise
train_0148.wav,noise
train_0149.wav,noise
train_0150.wav,noise
train_0151.wav,noise
train_0152.wav,noise
train_0153.wav,noise
train_0154.wav,noise
train_0155.wav,noise
train_0156.wav,noise
train_0157.wav,noise
train_0158.wav,noise
train_0159.wav,noise
train_0160.wav,noise
train_0161.wav,orca
train_0162.wav,orca
train_0163.wav,noise
train_0164.wav,noise
train_0165.wav,noise
